Stock NO,certificate number,LAB,SHAPE,SIZE,COLOR,CLARITY,CUT,POLISH,SYMMETRY,FLOUR.,DISCOUNT,MEESUREMENT,DEPTH,TABLE,image video link,,
6315470875,6315470875,GIA,ROUND,0.50,H,VS2,VG,EX,VG,NONE,-33.5,5.04-5.07x3.16,62.6,58,https://s3.amazonaws.com/elanstars/index.html?d=6315470875,,
JD-X-7,6315496242,GIA,ROUND,0.30,E,SI2,EX,EX,VG,STRONG,-44,4.33-4.37x2.60,59.8,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-7,,
JD-X-25,5316496419,GIA,ROUND,0.30,E,SI2,EX,EX,EX,STRONG,-46,4.31-4.33x2.65,61.3,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-25,,
JD-X-16,6312496421,GIA,ROUND,0.35,G,SI2,EX,EX,EX,FAINT,-38,4.46-4.49x2.80,62.6,58,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-16,,
JD-X-14,2314464391,GIA,ROUND,0.50,Q-R VL Brown,VS1,F,EX,VG,FAINT,-50,4.77-4.84x3.27,68,58,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-14,,
JD-Y-59,6311676132,GIA,ROUND,0.30,D,SI1,VG,VG,VG,MEDIUM,-40,4.18-4.21x2.70,64.4,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-59,,
JD-X-13,6311498603,GIA,ROUND,0.51,G,I2,EX,EX,VG,STRONG,-5,5.02-5.07x3.22,63.7,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-13,,
JD-X-18,3315470561,GIA,ROUND,0.50,E,SI2,EX,EX,EX,MEDIUM,-45,5.06-5.08x3.19,62.9,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-18,,
JD-X-15,7316526638,GIA,ROUND,0.40,F,VS2,VG,VG,VG,MEDIUM,-44,4.79-4.80x2.83,58.9,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-15,,
JD-X-11,1315472499,GIA,ROUND,0.30,J,VVS2,GD,VG,GD,MEDIUM,-45,4.14-4.18x2.73,65.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-11,,
JD-YA-7,2316674969,GIA,ROUND,0.70,G,SI2,VG,EX,EX,MEDIUM,-28,5.80-5.82x3.40,58.6,62,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-7,,
180000178070,180000178070,HRD,ROUND,3.08,K,SI1,EX,EX,EX,NONE,-38,9.29*9.35*5.74,61.5,59,https://s3.amazonaws.com/elanstars/index.html?d=180000178070,,
JD-V-3,7308951733,GIA,ROUND,1.60,G,VS2,EX,EX,EX,NONE,-36,7.41*7.44*4.69,63.2,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-V-3,,
JD-X-22,6312469570,GIA,ROUND,1.00,I,SI2,VG,GD,VG,MEDIUM,-45,6.20*6.31*4.00,63.9,63,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-22,,
JD-Y-62,5316677954,GIA,ROUND,0.30,J,SI1,EX,EX,VG,NONE,-28,4.26-4.30x2.69,62.9,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-62,,
JD-Y-51,341808242,IGI,ROUND,0.30,I,SI2,EX,EX,VG,NONE,-41,4.24-4.27x2.67,62.5,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-51,,
JD-Y-77,6312676148,GIA,ROUND,0.30,K,VVS1,EX,EX,EX,STRONG,-37,4.32-4.34x2.66,61.5,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-77,,
6301953142,6301953142,GIA,ROUND,0.30,E,SI2,EX,EX,VG,NONE,-37,4.27*4.31*2.67,62.3,57,https://s3.amazonaws.com/elanstars/index.html?d=6301953142,,
JD-Y-15,6312675043,GIA,ROUND,0.55,E,IF,EX,EX,EX,NONE,-40,5.20-5.24x3.27,62.6,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-15,,
JD-Y-32,341808243,IGI,ROUND,0.70,J,SI2,VG,EX,VG,NONE,-45,5.52*5.59*3.58,64.3,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-32,,
JD-YA-29,6312675310,GIA,ROUND,0.60,H,I1,VG,EX,EX,MEDIUM,-43,5.33-5.37x3.35,62.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-29,,
332889290,332889290,IGI,ROUND,0.90,D,SI2,VG,EX,VG,NONE,-50,6.06*6.13*3.88,63.7,54,https://s3.amazonaws.com/elanstars/index.html?d=332889290,,
3305419525,3305419525,GIA,ROUND,0.90,E,SI1,EX,EX,VG,MEDIUM,-50,6.11*6.14*3.86,63,56,https://s3.amazonaws.com/elanstars/index.html?d=3305419525,,
JD-Y-6,341808241,IGI,ROUND,1.50,M,VS1,VG,EX,VG,STRONG,-37,7.55-7.61x4.23,55.7,65,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-6,,
JD-Y-46,5316675226,GIA,ROUND,0.50,G,SI2,G,EX,G,MEDIUM,-45,4.81-4.87x3.22,66.6,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-46,,
JD-YA-8,341808244,IGI,ROUND,0.50,E,SI2,EX,EX,VG,NONE,-52,5.04-5.08x3.07,60.7,59.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-YA-8,,
JD-Y-21,341807552,IGI,ROUND,0.50,D,SI2,EX,EX,EX,STRONG,-40,5.06*5.08*3.06,62.4,56.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-21,,
PPS-X-09,6295784326,GIA,ROUND,1.01,F,IF,VG,EX,VG,NONE,-48,6.16-6.25*4.04,65.2,57,https://s3.amazonaws.com/elanstars/index.html?d=PPS-X-09,,
PPS-X-13,3285235108,GIA,ROUND,0.49,E,VVS1,EX,EX,EX,NONE,-7,5.01*5.04*3.18,63.3,57,https://s3.amazonaws.com/elanstars/index.html?d=PPS-X-13,,
SPRL-413,341896094,IGI,ROUND,1.70,H,VS1,EX,EX,EX,NONE,-35,7.53*7.59*4.77,63.1,55,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-413,,
SPRL-346,324818121,IGI,ROUND,2.01,J,VS1,EX,EX,EX,VERY SLIGHT,-42,8.08*8.13*5.02,62.1,54.5,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-346,,
SPRL-414,341896467,IGI,ROUND,1.70,H,VS1,EX,EX,VG,NONE,-35,7.53*7.60*4.74,62.6,57.5,https://s3.amazonaws.com/elanstars/index.html?d=SPRL-414,,
18030147,324815440,IGI,ROUND,2.00,L,VVS1,EX,EX,VG,VERY SLIGHT,-38,7.89*7.96*5.03,63.4,59,https://s3.amazonaws.com/elanstars/index.html?d=18030147,,
JD-Y-54,350803423,IGI,ROUND,0.50,J,I1,G,EX,VG,NONE,-52,4.83-4.88x3.18,62,65.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-54,,
AD-B-12,2316586332,GIA,ROUND,1.00,D,I1,EX,EX,EX,NONE,-15,6.34-6.38*3.96,62.3,59,https://s3.amazonaws.com/elanstars/index.html?d=AD-B-12,,
PPS-PR-01,6311518134,GIA,ROUND,2.06,L,VVS2,EX,EX,EX,FAINT,-23,8.24-8.29*4.98,60.3,59,https://s3.amazonaws.com/elanstars/index.html?d=PPS-PR-01,,
RJ-65,1303100840,GIA,ROUND,0.50,L,VS2,EX,EX,EX,FAINT,-28,5.09*5.13*3.15,61.7,56,https://s3.amazonaws.com/elanstars/index.html?d=RJ-65,,
RJ-232,6302183912,GIA,ROUND,0.50,E,SI1,VG,EX,VG,MEDIUM,-42,5.03*5.08*3.18,62.9,56,https://s3.amazonaws.com/elanstars/index.html?d=RJ-232,,
RJ-10,2307037417,GIA,ROUND,0.50,H,VS1,VG,EX,EX,STRONG,-41.1,4.93*4.95*3.19,64.5,57,https://s3.amazonaws.com/elanstars/index.html?d=RJ-10,,
RJ-73,7308320424,GIA,ROUND,0.54,G,I2,EX,EX,EX,MEDIUM,-24,5.23*5.26*3.19,60.9,58,https://s3.amazonaws.com/elanstars/index.html?d=RJ-73,,
RJ-57,6302320454,GIA,ROUND,0.59,H,VS1,EX,EX,EX,NONE,-30,5.39*5.42*3.29,60.9,59,https://s3.amazonaws.com/elanstars/index.html?d=RJ-57,,
RJ-51,6305229228,GIA,ROUND,0.72,H,VS1,EX,EX,EX,FAINT,-33,5.72*5.74*3.57,62.3,58,https://s3.amazonaws.com/elanstars/index.html?d=RJ-51,,
RJ-1,2304232255,GIA,ROUND,0.74,D,VVS1,EX,EX,EX,FAINT,-40,5.74*5.78*3.62,62.8,55,https://s3.amazonaws.com/elanstars/index.html?d=RJ-1,,
J-RJ-1,2296977260,GIA,ROUND,0.51,I,IF,EX,EX,EX,NONE,-34,5.23*5.25*3.09,59.1,60,https://s3.amazonaws.com/elanstars/index.html?d=J-RJ-1,,
J-RJ-2,314812959,IGI,ROUND,0.70,F,SI2,VG,EX,VG,NONE,-52,5.63*5.70*3.58,63.2,52.5,https://s3.amazonaws.com/elanstars/index.html?d=J-RJ-2,,
T-1,5303799911,GIA,ROUND,0.33,E,VS1,EX,EX,EX,NONE,-39,4.48*4.51*2.69,59.8,61,https://s3.amazonaws.com/elanstars/index.html?d=T-1,,
T-3,1305799900,GIA,ROUND,0.36,G,VVS2,EX,EX,EX,FAINT,-38,4.61*4.64*2.76,59.8,60,https://s3.amazonaws.com/elanstars/index.html?d=T-3,,
T-4,1303799897,GIA,ROUND,0.36,F,VVS2,EX,EX,EX,NONE,-33,4.53*4.56*2.79,61.4,60,https://s3.amazonaws.com/elanstars/index.html?d=T-4,,
T-5,6301799926,GIA,ROUND,0.46,F,VVS2,EX,EX,EX,NONE,-27,4.93*4.96*3.07,62,57,https://s3.amazonaws.com/elanstars/index.html?d=T-5,,
RJ-124,6301547113,GIA,ROUND,0.70,H,SI1,VG,EX,VG,STRONG,-43,5.70*5.74*3.53,61.7,57,https://s3.amazonaws.com/elanstars/index.html?d=RJ-124,,
JD-V-37,6315226521,GIA,ROUND,1.05,F,I2,EX,EX,EX,STRONG,-12,6.51-6.52x4.02,61.7,60,https://s3.amazonaws.com/elanstars/index.html?d=JD-V-37,,
JD-X-21,6315496409,GIA,ROUND,0.30,"K, FAINT BROWN ",I1,VG,EX,VG,MEDIUM,-40,4.21-4.26x2.71,64.1,57,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-21,,
JD-X-24,2314466326,GIA,ROUND,0.54,F,I1,EX,EX,EX,MEDIUM,-46,5.26-5.30x3.17,60,60,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-24,,
JD-X-28,3315463054,GIA,ROUND,0.40,F,VVS2,EX,EX,EX,MEDIUM,-45,4.85-4.87x2.84,61,58.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-28,,
JD-X-29,7312526634,GIA,ROUND,0.30,F,SI2,EX,VG,VG,MEDIUM,-40,4.34-4.38x2.60,59.7,61,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-29,,
JD-X-31,2316496422,GIA,ROUND,0.30,D,SI2,EX,EX,EX,NONE,-28,4.38-4.40x2.59,58.9,60,https://s3.amazonaws.com/elanstars/index.html?d=JD-X-31,,
JD-Y-69,6312631826,GIA,ROUND,0.73,G,VS1,EX,EX,EX,NONE,-33,5.81-5.84x3.56,61.2,59,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-69,,
SDJ-138,1313179001,GIA,ROUND,1.06,E,VS2,EX,EX,EX,MEDIUM,-40,6.48*6.53*4.06,62.4,58,https://s3.amazonaws.com/elanstars/index.html?d=SDJ-138,,
RD-19A,6315140583,GIA,ROUND,1.00,D,SI1,VG,EX,VG,FAINT,-47,6.15*6.26*4.01,64.7,56,https://s3.amazonaws.com/elanstars/index.html?d=RD-19A,,
RD-VV-46,341808433,IGI,ROUND,1.01,J,SI2,EX,EX,VG,NONE,-40,6.39-6.42*4.00,62.5,56,https://s3.amazonaws.com/elanstars/index.html?d=RD-VV-46,,
RD-KN-2800,341808432,IGI,ROUND,1.00,K,SI2,EX,VG,EX,SLIGHT,-42,6.38-6.40*4.01,62.7,56,https://s3.amazonaws.com/elanstars/index.html?d=RD-KN-2800,,
SRE-1-B,2317645798,GIA,ROUND,1.50,M,SI2,EX,EX,EX,NONE,-30,7.32-7.35*4.55,62,59,https://s3.amazonaws.com/elanstars/index.html?d=SRE-1-B,,
SRF-2,2316595322,GIA,ROUND,1.08,I,VVS2,EX,EX,EX,FAINT,-34,6.55-6.60*4.06,61.7,59,https://s3.amazonaws.com/elanstars/index.html?d=SRF-2,,
PPS-I-01,2318647310,GIA,ROUND,1.03,J,VS1,EX,EX,EX,NONE,-27,6.49*6.52*4.00,61.5,58,https://s3.amazonaws.com/elanstars/index.html?d=PPS-I-01,,
RD-KG-1700,2318627217,GIA,ROUND,1.01,D,I1,EX,EX,EX,NONE,-18,6.48*6.50*3.94,60.7,60,https://s3.amazonaws.com/elanstars/index.html?d=RD-KG-1700,,
RD-1300-7,2317674490,GIA,ROUND,1.01,I,SI1,GD,VG,VG,NONE,-46,6.13*6.16*4.05,65.9,55,https://s3.amazonaws.com/elanstars/index.html?d=RD-1300-7,,
RD-VV-3,6315627777,GIA,ROUND,1.08,F,SI1,EX,EX,EX,NONE,-22,6.54*6.58*4.11,62.7,57,https://s3.amazonaws.com/elanstars/index.html?d=RD-VV-3,,
RD-1300-5,5313646261,GIA,ROUND,1.00,K,SI1,VG,EX,VG,NONE,-33,6.25*6.32*4.02,64,58,https://s3.amazonaws.com/elanstars/index.html?d=RD-1300-5,,
RD-VV-7,7318627963,GIA,ROUND,2.00,K,SI1,VG,EX,VG,NONE,-33,7.85*7.90*5.07,64.4,57,https://s3.amazonaws.com/elanstars/index.html?d=RD-VV-7,,
AAA-2,314814731,IGI,ROUND,2.00,J,VS1,EX,EX,VG,VERY SLIGHT,-44,7.96*8.03*5.07,63.3,56,https://s3.amazonaws.com/elanstars/index.html?d=AAA-2,,
AAA-13,314814474,IGI,ROUND,1.40,E,SI2,EX,VG,VG,VERY SLIGHT,-50,7.11*7.15*4.38,61.4,60.5,https://s3.amazonaws.com/elanstars/index.html?d=AAA-13,,
A-67,63013774278,GIA,ROUND,0.75,F,VS2,EX,EX,EX,MEDIUM,-43,5.79*5.81*3.61,62.2,58,https://s3.amazonaws.com/elanstars/index.html?d=A-67,,
AS1,341808172,IGI,ROUND,3.01,N,SI1,EX,EX,EX,NONE,-45,9.17*9.24*5.73,62.3,56.5,https://s3.amazonaws.com/elanstars/index.html?d=AS1,,
JD-Y-39,1319632064,GIA,ROUND,0.57,G,VVS2,EX,EX,EX,STRONG,-44,5.25-5.29x3.33,63.2,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-39,,
JD-Y-45,341807915,IGI,ROUND,0.50,I,I1,VG,EX,VG,NONE,-46,4.97-5.00x3.16,63.4,56,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-45,,
JD-Y-50,1319639445,GIA,ROUND,0.30,J,VS1,EX,EX,VG,NONE,-33,4.29-4.30x2.66,61.9,54,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-50,,
JD-Y-47,341807916,IGI,ROUND,0.45,"K, FAINT BROWN ",VS2,VG,EX,GD,None,-50,4.77-4.81x3.06,63.8,55.5,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-47,,
JD-Y-48,6312644502,GIA,ROUND,0.30,J,SI1,FAIR,VG,GD,NONE,-40,3.95-4.03x2.74,68.8,55,https://s3.amazonaws.com/elanstars/index.html?d=JD-Y-48,,
PPS-I01-B,5316707344,GIA,ROUND,1.01,J,SI2,EX,EX,EX,NONE,-27.9,6.49*6.51*3.97,61.1,55,https://s3.amazonaws.com/elanstars/index.html?d=PPS-I01-B,,
HD-1,341807624,IGI,ROUND,3.01,L,SI1,EX,EX,EX,SLIGHT,-35,9.17-9.26*5.76,62.5,59,https://s3.amazonaws.com/elanstars/index.html?d=HD-1,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
